framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
2,-1,16,16,1000,  73,1000,  56,0x0
2,-1,16, 8,1016,  77,1016,  60,0x0
2, 1,16,16,1022, 153,1032, 152,0x0
3, 1,16,16,1023, 152,1016, 152,0x0
3, 1,16, 8,1039, 156,1032, 156,0x0
5,-1,16, 8,1128,  19,1128,  28,0x0
5,-1,16,16, 904,  71, 904,  56,0x0
5,-1, 8,16, 828,  72, 820,  72,0x0
5,-1, 8, 8,1276,  61,1276,  68,0x0
5,-1,16,16, 936,  73, 936,  88,0x0
5,-1, 8,16,1009, 151,1004, 152,0x0
5,-1,16,16,1010, 152,1032, 152,0x0
5,-1, 8, 8,1220, 147,1212, 148,0x0
5,-1, 8, 8,1214, 155,1204, 156,0x0
5,-1, 8, 8,1220, 155,1212, 156,0x0
5,-1, 8,16,1228, 151,1220, 152,0x0
5,-1, 8, 8, 897, 311, 900, 316,0x0
6,-1,16,16, 994, 152,1000, 152,0x0
7,-1,16,16,1021, 152,1032, 152,0x0
7, 1, 8, 8, 873, 303, 868, 300,0x0
7, 1, 8, 8, 894, 308, 900, 308,0x0
7, 1,16,16, 906, 333, 904, 328,0x0
7, 1, 8, 8, 892, 345, 892, 340,0x0
7, 1,16, 8, 906, 345, 904, 340,0x0
9,-1, 8,16, 804,  12, 796,   8,0x0
9,-1,16,16, 822,  12, 808,   8,0x0
9,-1,16,16, 838,  12, 824,   8,0x0
9,-1,16,16, 854,  12, 840,   8,0x0
9,-1,16,16, 870,  12, 856,   8,0x0
9,-1,16,16, 886,  12, 872,   8,0x0
9,-1,16,16,1134,  56,1128,  56,0x0
9,-1, 8,16,1276,  59,1276,  72,0x0
9,-1,16, 8, 831,  83, 824,  84,0x0
9,-1,16,16,1021, 120,1016, 120,0x0
9,-1, 8,16, 850, 136, 844, 136,0x0
9,-1, 8,16,1005, 151, 996, 152,0x0
9,-1, 8,16,1012, 151,1004, 152,0x0
9,-1,16,16,1005, 151,1016, 152,0x0
9,-1, 8, 8,1267, 147,1252, 148,0x0
9,-1, 8, 8,1267, 155,1252, 156,0x0
9,-1,16,16,1264, 151,1272, 152,0x0
9,-1, 8, 8,  13, 196,   4, 196,0x0
9,-1, 8, 8, 897, 315, 900, 324,0x0
9,-1, 8, 8, 897, 323, 900, 332,0x0
9,-1, 8, 8, 905, 323, 908, 332,0x0
9,-1,16, 8, 829, 342, 824, 348,0x0
9,-1, 8, 8, 867, 367, 868, 372,0x0
10, 1,16,16,1216, 152,1208, 152,0x0
