framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
2,-1,16, 8,  81,  28,  88,  28,0x0
2,-1,16, 8, 559,  36, 552,  36,0x0
2,-1,16, 8, 559,  44, 552,  44,0x0
2,-1,16, 8, 574,  36, 568,  36,0x0
2,-1,16, 8, 575,  44, 568,  44,0x0
2,-1,16, 8, 591,  36, 584,  36,0x0
2,-1,16, 8, 591,  44, 584,  44,0x0
2,-1, 8,16, 603,  40, 596,  40,0x0
2,-1, 8,16, 613,  41, 604,  40,0x0
2,-1, 8,16, 634,  40, 628,  40,0x0
2,-1, 8, 8, 580,  52, 572,  52,0x0
2,-1,16, 8, 591,  52, 584,  52,0x0
2,-1,16,16, 622,  56, 616,  56,0x0
2,-1, 8, 8, 634,  52, 628,  52,0x0
3,-1, 8, 8,  -3,  24,   4,  28,0x0
3,-1,16, 8,  74,  28,  88,  28,0x0
3,-1,16, 8,  89,  28, 104,  28,0x0
3,-1,16, 8,  94,  36, 104,  36,0x0
3,-1,16, 8, 566,  37, 552,  36,0x0
3,-1,16, 8, 567,  45, 552,  44,0x0
3,-1,16, 8, 583,  37, 568,  36,0x0
3,-1,16, 8, 583,  45, 568,  44,0x0
3,-1,16, 8, 599,  37, 584,  36,0x0
3,-1,16, 8, 599,  45, 584,  44,0x0
3,-1,16,16, 614,  41, 600,  40,0x0
3,-1,16, 8, 595,  53, 584,  52,0x0
3,-1,16, 8, 614,  53, 600,  52,0x0
3,-1,16, 8, 629,  53, 616,  52,0x0
5,-1, 8, 8,  -1,  30,  12,  28,0x0
5,-1, 8, 8,  70,  28,  76,  28,0x0
5,-1,16, 8,  82,  28,  88,  28,0x0
5,-1,16, 8,  94,  28, 104,  28,0x0
5,-1,16, 8,  94,  36, 104,  36,0x0
5,-1,16, 8, 113,  36, 120,  36,0x0
5,-1, 8, 8, 539,  36, 532,  36,0x0
5,-1, 8, 8, 547,  36, 540,  36,0x0
5,-1, 8, 8, 547,  45, 540,  44,0x0
5,-1, 8,16, 555,  40, 548,  40,0x0
5,-1, 8,16, 563,  40, 556,  40,0x0
5,-1, 8,16, 571,  40, 564,  40,0x0
5,-1, 8,16, 581,  40, 572,  40,0x0
5,-1,16,16, 607,  40, 600,  40,0x0
5,-1, 8, 8, 618,  36, 612,  36,0x0
5,-1, 8, 8, 618,  44, 612,  44,0x0
5,-1, 8, 8, 626,  44, 620,  44,0x0
5,-1,16, 8, 607,  52, 600,  52,0x0
5,-1,16,16, 622,  56, 616,  56,0x0
6,-1, 8, 8,  11,  28,  20,  28,0x0
6,-1, 8, 8,  22,  28,  28,  28,0x0
6,-1,16, 8,  80,  28,  88,  28,0x0
6,-1,16, 8,  96,  28, 104,  28,0x0
6,-1,16, 8, 113,  28, 120,  28,0x0
6,-1,16, 8, 559,  28, 552,  28,0x0
6,-1,16, 8, 575,  28, 568,  28,0x0
6,-1,16, 8,  96,  36, 104,  36,0x0
6,-1,16,16, 113,  40, 120,  40,0x0
6,-1, 8, 8, 540,  36, 532,  36,0x0
6,-1, 8, 8, 547,  36, 540,  36,0x0
6,-1, 8, 8, 546,  45, 540,  44,0x0
6,-1,16,16, 559,  40, 552,  40,0x0
6,-1, 8,16, 571,  40, 564,  40,0x0
6,-1, 8,16, 582,  41, 572,  40,0x0
6,-1,16,16, 591,  40, 584,  40,0x0
6,-1,16,16, 607,  40, 600,  40,0x0
6,-1,16, 8, 622,  44, 616,  44,0x0
6,-1,16, 8, 591,  52, 584,  52,0x0
6,-1,16,16, 607,  56, 600,  56,0x0
6,-1, 8,16, 619,  56, 612,  56,0x0
6,-1, 8,16, 626,  56, 620,  56,0x0
7,-1, 8, 8,  22,  28,  28,  28,0x0
7,-1, 8, 8,  42,  28,  36,  28,0x0
7,-1,16, 8, 112,  28, 120,  28,0x0
7,-1,16, 8, 121,  28, 136,  28,0x0
7,-1,16, 8, 567,  29, 552,  28,0x0
7,-1,16, 8, 583,  29, 568,  28,0x0
7,-1,16, 8,  98,  36, 104,  36,0x0
7,-1,16, 8, 107,  36, 120,  36,0x0
7,-1,16, 8, 127,  44, 120,  44,0x0
7,-1,16, 8, 121,  36, 136,  36,0x0
7,-1,16, 8, 143,  44, 136,  44,0x0
7,-1,16, 8, 536,  37, 520,  36,0x0
7,-1, 8, 8, 548,  37, 532,  36,0x0
7,-1, 8, 8, 555,  37, 540,  36,0x0
7,-1, 8, 8, 556,  47, 540,  44,0x0
7,-1,16,16, 567,  41, 552,  40,0x0
7,-1,16,16, 583,  41, 568,  40,0x0
7,-1,16,16, 598,  41, 584,  40,0x0
7,-1, 8,16, 610,  41, 596,  40,0x0
7,-1, 8,16, 624,  42, 604,  40,0x0
7,-1,16, 8, 598,  53, 584,  52,0x0
7,-1,16,16, 614,  57, 600,  56,0x0
7,-1, 8,16, 620,  57, 612,  56,0x0
9,-1,16, 8, 113,  28, 120,  28,0x0
9,-1,16, 8, 129,  28, 136,  28,0x0
9,-1,16, 8, 145,  28, 152,  28,0x0
9,-1,16, 8, 528,  28, 520,  28,0x0
9,-1,16, 8, 544,  28, 536,  28,0x0
9,-1,16, 8, 112,  36, 120,  36,0x0
9,-1,16,16, 129,  40, 136,  40,0x0
9,-1,16,16, 145,  40, 152,  40,0x0
9,-1, 8, 8, 524,  36, 516,  36,0x0
9,-1, 8, 8, 532,  36, 524,  36,0x0
9,-1, 8, 8, 524,  44, 516,  44,0x0
9,-1,16, 8, 544,  36, 536,  36,0x0
9,-1,16, 8, 591,  36, 584,  36,0x0
9,-1,16, 8, 591,  44, 584,  44,0x0
9,-1,16, 8, 591,  52, 584,  52,0x0
9,-1,16,16, 606,  56, 600,  56,0x0
1 10,-1, 8, 8,  45,  28,  52,  28,0x0
10,-1,16, 8, 129,  28, 136,  28,0x0
10,-1,16, 8, 145,  28, 152,  28,0x0
10,-1,16, 8, 527,  28, 520,  28,0x0
10,-1,16, 8, 543,  28, 536,  28,0x0
10,-1,16, 8, 560,  28, 552,  28,0x0
10,-1,16, 8, 576,  28, 568,  28,0x0
10,-1,16,16, 129,  40, 136,  40,0x0
10,-1,16,16, 145,  40, 152,  40,0x0
10,-1,16, 8, 496,  36, 488,  36,0x0
10,-1,16, 8, 512,  36, 504,  36,0x0
10,-1,16, 8, 528,  36, 520,  36,0x0
10,-1,16, 8, 543,  36, 536,  36,0x0
10,-1,16, 8, 560,  36, 552,  36,0x0
10,-1,16,16, 575,  40, 568,  40,0x0
10,-1, 8, 8, 587,  36, 580,  36,0x0
10,-1, 8, 8, 587,  44, 580,  44,0x0
10,-1, 8, 8, 595,  44, 588,  44,0x0
10,-1, 8, 8, 579,  52, 572,  52,0x0
10,-1,16, 8, 591,  52, 584,  52,0x0
4 11,-1, 8, 8, 107,  12, 100,  12,0x0
11,-1, 8,16, 116,   8, 124,   8,0x0
11,-1, 8, 8,  63,  28,  68,  28,0x0
11,-1,16, 8, 105,  28,  88,  28,0x0
11,-1,16, 8, 111,  28, 104,  28,0x0
11,-1, 8, 8, 150,  21, 164,  20,0x0
11,-1, 8, 8, 148,  28, 164,  28,0x0
11,-1, 8, 8, 157,  28, 172,  28,0x0
11,-1,16, 8, 521,  29, 504,  28,0x0
11,-1,16, 8, 536,  29, 520,  28,0x0
11,-1,16, 8, 549,  29, 536,  28,0x0
11,-1,16, 8, 567,  29, 552,  28,0x0
11,-1,16,16, 136,  40, 152,  40,0x0
11,-1,16,16, 153,  40, 168,  40,0x0
11,-1,16, 8, 488,  37, 472,  36,0x0
11,-1,16, 8, 503,  37, 488,  36,0x0
11,-1,16, 8, 520,  37, 504,  36,0x0
11,-1,16, 8, 536,  37, 520,  36,0x0
11,-1,16, 8, 549,  37, 536,  36,0x0
11,-1, 8,16, 563,  41, 548,  40,0x0
11,-1, 8,16, 571,  41, 556,  40,0x0
11,-1, 8, 8, 579,  37, 564,  36,0x0
11,-1, 8, 8, 589,  38, 572,  36,0x0
11,-1, 8, 8, 579,  45, 564,  44,0x0
11,-1, 8, 8, 587,  45, 572,  44,0x0
11,-1,16, 8, 590,  44, 584,  44,0x0
11,-1, 8, 8, 585,  52, 572,  52,0x0
11,-1,16, 8, 599,  53, 584,  52,0x0
4 13,-1,16,16, 129,   8, 136,   8,0x0
13,-1, 8, 8,  69,  28,  76,  28,0x0
13,-1,16, 8, 129,  20, 136,  20,0x0
13,-1,16,16, 145,  24, 152,  24,0x0
13,-1,16, 8, 159,  20, 168,  20,0x0
13,-1,16, 8, 161,  28, 168,  28,0x0
13,-1, 8,16, 172,  24, 180,  24,0x0
13,-1, 8,16, 515,  24, 508,  24,0x0
13,-1,16, 8, 526,  28, 520,  28,0x0
13,-1,16, 8, 543,  28, 536,  28,0x0
13,-1, 8, 8, 555,  28, 548,  28,0x0
13,-1, 8, 8, 562,  29, 556,  28,0x0
13,-1,16,16, 145,  40, 152,  40,0x0
13,-1,16,16, 161,  40, 168,  40,0x0
13,-1,16,16, 177,  40, 184,  40,0x0
13,-1,16, 8, 480,  36, 472,  36,0x0
13,-1,16, 8, 496,  36, 488,  36,0x0
13,-1,16, 8, 512,  36, 504,  36,0x0
13,-1,16, 8, 543,  36, 536,  36,0x0
13,-1,16,16, 559,  40, 552,  40,0x0
13,-1, 8, 8, 570,  44, 564,  44,0x0
3 14,-1,16,16, 106,   8, 120,   8,0x0
14,-1,16,16, 124,   8, 136,   8,0x0
14,-1,16,16, 136,   8, 152,   8,0x0
14,-1, 8, 8,  84,  36,  84,  28,0x0
14,-1, 8, 8, 132,  20, 148,  20,0x0
14,-1, 8, 8, 141,  20, 156,  20,0x0
14,-1, 8, 8, 132,  28, 148,  28,0x0
14,-1, 8, 8, 141,  28, 156,  28,0x0
14,-1,16,16, 152,  24, 168,  24,0x0
14,-1,16,16, 169,  24, 184,  24,0x0
14,-1, 8,16, 181,  24, 196,  24,0x0
14,-1,16, 8, 472,  28, 456,  28,0x0
14,-1,16, 8, 488,  29, 472,  28,0x0
14,-1,16,16, 519,  25, 504,  24,0x0
14,-1,16, 8, 536,  29, 520,  28,0x0
14,-1,16, 8, 552,  29, 536,  28,0x0
14,-1,16, 8, 112,  36, 104,  36,0x0
14,-1,16, 8, 168,  36, 184,  36,0x0
14,-1, 8, 8, 180,  37, 196,  36,0x0
14,-1, 8, 8, 469,  37, 452,  36,0x0
14,-1, 8, 8, 480,  36, 460,  36,0x0
14,-1,16, 8, 488,  36, 472,  36,0x0
14,-1, 8, 8, 502,  37, 484,  36,0x0
14,-1, 8, 8, 507,  37, 492,  36,0x0
14,-1, 8, 8, 507,  45, 492,  44,0x0
14,-1,16, 8, 517,  37, 504,  36,0x0
14,-1,16, 8, 537,  37, 520,  36,0x0
14,-1,16, 8, 551,  37, 536,  36,0x0
