framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
63,-1,16,16, 561, 104, 552, 104,0x0
175,-1,16,16, 568, 104, 552, 104,0x0
184,-1,16,16, 544,  40, 552,  40,0x0
184,-1,16,16, 544, 104, 536, 104,0x0
207,-1,16,16, 646, 232, 632, 232,0x0
208,-1,16,16, 626, 232, 616, 232,0x0
209,-1,16,16, 632, 127, 632, 136,0x0
209,-1,16,16, 639, 209, 632, 200,0x0
209,-1,16,16, 603, 217, 584, 216,0x0
209,-1,16,16, 624, 216, 600, 216,0x0
209,-1,16,16, 629, 222, 616, 216,0x0
209,-1,16,16, 619, 232, 600, 232,0x0
210,-1,16,16, 622, 136, 616, 136,0x0
210,-1,16,16, 636, 187, 632, 184,0x0
210,-1,16,16, 622, 200, 616, 200,0x0
210,-1,16,16, 639, 200, 632, 200,0x0
210,-1,16,16, 606, 216, 600, 216,0x0
212,-1,16,16, 606, 135, 600, 136,0x0
212,-1,16,16, 622, 135, 616, 136,0x0
212,-1,16,16, 623, 184, 616, 184,0x0
212,-1,16,16, 641, 184, 632, 184,0x0
212,-1,16,16, 624, 198, 616, 200,0x0
212,-1,16,16, 632, 209, 632, 200,0x0
212,-1,16,16, 589, 232, 584, 232,0x0
214,-1,16,16, 626, 133, 616, 136,0x0
214,-1,16,16, 641, 135, 632, 136,0x0
214,-1,16,16, 630, 168, 616, 168,0x0
214,-1,16,16, 629, 184, 616, 184,0x0
214,-1,16,16, 612, 198, 600, 200,0x0
214,-1,16,16, 624, 201, 616, 200,0x0
214,-1,16,16, 611, 212, 600, 216,0x0
215,-1,16,16, 624, 153, 616, 152,0x0
215,-1,16,16, 622, 168, 616, 168,0x0
215, 1,16,16, 632, 161, 632, 168,0x0
216, 1,16,16, 624,  72, 632,  72,0x0
216, 1,16,16, 618, 108, 632, 104,0x0
216,-1,16,16, 627, 120, 616, 120,0x0
216, 1,16,16, 608, 120, 616, 120,0x0
216, 1,16,16, 624, 120, 632, 120,0x0
216, 1,16,16, 624, 135, 632, 136,0x0
216, 1,16,16, 603, 148, 616, 152,0x0
216,-1,16,16, 604, 189, 600, 184,0x0
216,-1,16,16, 607, 199, 600, 200,0x0
216, 1,16,16, 598, 206, 600, 200,0x0
216, 1,16,16, 613, 211, 616, 200,0x0
216, 1,16,16, 626, 208, 632, 200,0x0
218,-1,16,16, 628, 159, 600, 152,0x0
218,-1,16,16, 608, 198, 600, 184,0x0
11 219, 1,16,16, 610,  72, 616,  72,0x0
219, 1,16,16, 626,  71, 632,  72,0x0
219, 1,16,16, 626,  87, 632,  88,0x0
219,-1,16,16, 622, 105, 616, 104,0x0
219,-1,16,16, 632, 111, 632, 104,0x0
219,-1,16,16, 607, 120, 600, 120,0x0
