framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
6 6 2,-1, 8, 8, 262, 220, 268, 220,0x0
2,-1, 8, 8, 270, 220, 276, 220,0x0
2,-1, 8,16, 254, 232, 260, 232,0x0
2,-1, 8,16, 262, 232, 268, 232,0x0
2,-1,16,16, 274, 232, 280, 232,0x0
2,-1, 8, 8, 254, 244, 260, 244,0x0
2,-1, 8, 8, 262, 244, 268, 244,0x0
2,-1, 8, 8, 254, 252, 260, 252,0x0
2,-1, 8, 8, 262, 252, 268, 252,0x0
2,-1, 8, 8, 270, 244, 276, 244,0x0
2,-1, 8, 8, 278, 244, 284, 244,0x0
2,-1, 8, 8, 279, 252, 284, 252,0x0
2,-1,16, 8, 656, 243, 648, 244,0x0
2,-1,16, 8, 656, 251, 648, 252,0x0
2,-1, 8, 8, 254, 260, 260, 260,0x0
2,-1, 8, 8, 271, 268, 276, 268,0x0
2,-1, 8, 8, 454, 268, 460, 268,0x0
2,-1,16,16, 655, 263, 648, 264,0x0
2,-1, 8,16, 667, 263, 660, 264,0x0
2,-1, 8,16, 676, 263, 668, 264,0x0
2,-1, 8,16, 685, 280, 676, 264,0x0
2,-1,16,16, 655, 280, 648, 280,0x0
2,-1,16, 8, 672, 275, 664, 276,0x0
2,-1,16, 8, 671, 283, 664, 284,0x0
2,-1, 8, 8, 651, 292, 644, 292,0x0
2,-1, 8, 8, 661, 292, 652, 292,0x0
2,-1, 8, 8, 653, 299, 644, 300,0x0
2,-1, 8, 8, 661, 299, 652, 300,0x0
2,-1, 8, 8, 667, 291, 660, 292,0x0
2,-1, 8, 8, 674, 292, 668, 292,0x0
2,-1, 8, 8, 667, 302, 660, 300,0x0
2,-1, 8, 8, 667, 309, 660, 308,0x0
2,-1, 8, 8, 642, 320, 636, 324,0x0
13 8 3,-1, 8, 8, 251, 220, 268, 220,0x0
3,-1,16, 8, 273, 220, 280, 220,0x0
3,-1,16,16, 257, 232, 264, 232,0x0
3,-1,16, 8, 273, 228, 280, 228,0x0
3,-1,16, 8, 273, 236, 280, 236,0x0
3,-1, 8, 8, 253, 244, 260, 244,0x0
3,-1, 8, 8, 261, 244, 268, 244,0x0
3,-1, 8, 8, 253, 252, 260, 252,0x0
3,-1, 8, 8, 261, 251, 268, 252,0x0
3,-1, 8, 8, 269, 244, 276, 244,0x0
3,-1, 8, 8, 277, 244, 284, 244,0x0
3,-1, 8, 8, 269, 251, 276, 252,0x0
3,-1, 8, 8, 277, 252, 284, 252,0x0
3,-1, 8,16, 285, 248, 292, 248,0x0
3,-1, 8,16, 644, 248, 636, 248,0x0
3,-1,16, 8, 656, 244, 648, 244,0x0
3,-1,16, 8, 656, 252, 648, 252,0x0
3,-1, 8, 8, 668, 253, 660, 252,0x0
3,-1, 8, 8, 253, 260, 260, 260,0x0
3,-1, 8, 8, 262, 260, 268, 260,0x0
3,-1, 8, 8, 254, 268, 260, 268,0x0
3,-1, 8, 8, 262, 268, 268, 268,0x0
3,-1, 8, 8, 270, 260, 276, 260,0x0
3,-1, 8, 8, 278, 260, 284, 260,0x0
3,-1, 8, 8, 271, 268, 276, 268,0x0
3,-1, 8, 8, 278, 267, 284, 268,0x0
3,-1, 8,16, 284, 262, 292, 264,0x0
3,-1, 8,16, 652, 264, 644, 264,0x0
3,-1, 8,16, 660, 264, 652, 264,0x0
3,-1, 8, 8, 669, 260, 660, 260,0x0
3,-1, 8, 8, 669, 268, 660, 268,0x0
3,-1, 8, 8, 677, 271, 668, 268,0x0
3,-1, 8,16, 263, 281, 268, 280,0x0
3,-1, 8, 8, 269, 276, 276, 276,0x0
3,-1, 8, 8, 277, 276, 284, 276,0x0
3,-1, 8, 8, 276, 283, 284, 284,0x0
3,-1,16, 8, 288, 274, 296, 276,0x0
3,-1,16, 8, 289, 283, 296, 284,0x0
3,-1,16, 8, 656, 276, 648, 276,0x0
3,-1,16, 8, 656, 284, 648, 284,0x0
3,-1,16, 8, 672, 276, 664, 276,0x0
3,-1,16, 8, 672, 283, 664, 284,0x0
3,-1, 8, 8, 277, 291, 284, 292,0x0
3,-1,16, 8, 290, 291, 296, 292,0x0
3,-1,16, 8, 664, 291, 648, 292,0x0
3,-1,16, 8, 663, 299, 648, 300,0x0
3,-1, 8, 8, 649, 305, 644, 308,0x0
3,-1, 8, 8, 667, 307, 652, 308,0x0
3,-1,16,16, 665, 304, 664, 312,0x0
3,-1,16,16, 691, 318, 680, 312,0x0
3,-1,16, 8, 696, 302, 696, 308,0x0
18 15 4,-1, 8, 8, 530, 186, 524, 188,0x0
4,-1, 8, 8, 278, 223, 292, 220,0x0
4,-1, 8, 8, 287, 223, 300, 220,0x0
4,-1, 8, 8, 508, 211, 500, 220,0x0
4,-1, 8, 8, 512, 200, 508, 220,0x0
4, 1,16, 8, 285, 226, 280, 228,0x0
4,-1, 8, 8, 278, 231, 292, 228,0x0
4,-1, 8, 8, 287, 231, 300, 228,0x0
4,-1, 8, 8, 286, 239, 300, 236,0x0
4, 1, 8, 8, 297, 226, 292, 228,0x0
4, 1, 8, 8, 297, 234, 292, 236,0x0
4, 1, 8, 8, 305, 234, 300, 236,0x0
4,-1,16, 8, 269, 247, 280, 244,0x0
4,-1,16, 8, 261, 252, 280, 252,0x0
4,-1, 8,16, 287, 262, 300, 248,0x0
4, 1, 8,16, 297, 246, 292, 248,0x0
4, 1, 8,16, 305, 245, 300, 248,0x0
4, 1, 8, 8, 314, 253, 308, 252,0x0
4,-1, 8,16, 635, 250, 620, 248,0x0
4, 1, 8,16, 613, 249, 620, 248,0x0
4,-1, 8,16, 643, 250, 628, 248,0x0
4,-1, 8,16, 650, 249, 636, 248,0x0
4, 1, 8,16, 621, 249, 628, 248,0x0
4, 1, 8,16, 628, 249, 636, 248,0x0
4,-1,16, 8, 663, 254, 648, 252,0x0
4,-1, 8, 8, 257, 260, 276, 260,0x0
4,-1, 8, 8, 263, 262, 284, 260,0x0
4,-1, 8, 8, 261, 272, 284, 268,0x0
4, 1, 8, 8, 290, 258, 284, 260,0x0
4, 1, 8, 8, 290, 266, 284, 268,0x0
4, 1,16, 8, 624, 262, 632, 260,0x0
4, 1,16, 8, 624, 268, 632, 268,0x0
4, 1, 8,16, 636, 266, 644, 264,0x0
4,-1, 8, 8, 266, 281, 284, 276,0x0
