framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
8 2, 1,16, 8, 163, 348, 168, 348,0x0
2,-1, 8, 8, 185, 348, 180, 348,0x0
2, 1,16,16, 185, 342, 200, 344,0x0
2, 1, 8,16, 195, 342, 212, 344,0x0
2, 1, 8,16, 203, 342, 220, 344,0x0
2,-1,16, 8, 241, 340, 232, 340,0x0
2,-1,16, 8, 238, 349, 232, 348,0x0
2, 1,16, 8, 222, 340, 232, 340,0x0
2, 1,16, 8, 215, 346, 232, 348,0x0
2,-1,16,16, 173, 360, 168, 360,0x0
2, 1, 8,16, 182, 358, 196, 360,0x0
2, 1, 8,16, 188, 358, 204, 360,0x0
2, 1,16,16, 199, 358, 216, 360,0x0
2,-1, 8,16, 244, 360, 236, 360,0x0
2, 1, 8,16, 211, 358, 228, 360,0x0
2, 1, 8,16, 219, 358, 236, 360,0x0
2, 1,16,16, 242, 360, 248, 360,0x0
2, 1,16, 8, 155, 370, 168, 372,0x0
2, 1,16,16, 199, 374, 216, 376,0x0
2,-1, 8,16, 236, 376, 228, 376,0x0
2, 1, 8,16, 230, 376, 236, 376,0x0
2, 1,16,16, 242, 376, 248, 376,0x0
2, 1,16, 8, 226, 388, 232, 388,0x0
2, 1, 8, 8, 238, 388, 244, 388,0x0
2, 1, 8, 8, 246, 388, 252, 388,0x0
2, 1, 8, 8, 238, 396, 244, 396,0x0
2, 1,16,16, 676, 497, 680, 504,0x0
2,-1, 8,16, 697, 509, 692, 504,0x0
2, 1, 8,16, 687, 499, 692, 504,0x0
2, 1, 8,16, 695, 491, 700, 504,0x0
25 6 3, 1,16, 8, 142, 347, 152, 348,0x0
3, 1,16, 8, 158, 347, 168, 348,0x0
3,-1,16,16, 195, 346, 184, 344,0x0
3, 1,16,16, 175, 342, 184, 344,0x0
3,-1, 8,16, 208, 345, 196, 344,0x0
3,-1, 8,16, 215, 345, 204, 344,0x0
3,-1,16, 8, 226, 342, 216, 340,0x0
3,-1,16, 8, 227, 349, 216, 348,0x0
3, 1,16, 8, 205, 339, 216, 340,0x0
3, 1,16, 8, 205, 347, 216, 348,0x0
3,-1, 8, 8, 242, 340, 228, 340,0x0
3,-1, 8, 8, 239, 349, 228, 348,0x0
3,-1, 8, 8, 243, 348, 236, 348,0x0
3,-1,16, 8, 162, 358, 152, 356,0x0
3,-1,16, 8, 162, 366, 152, 364,0x0
3, 1,16, 8, 142, 354, 152, 356,0x0
3, 1,16, 8, 142, 363, 152, 364,0x0
3,-1,16, 8, 184, 358, 168, 356,0x0
3,-1,16, 8, 179, 366, 168, 364,0x0
3, 1,16, 8, 156, 355, 168, 356,0x0
3, 1,16, 8, 158, 363, 168, 364,0x0
3,-1,16,16, 196, 362, 184, 360,0x0
3, 1,16,16, 175, 359, 184, 360,0x0
3,-1,16,16, 212, 361, 200, 360,0x0
3, 1,16,16, 188, 359, 200, 360,0x0
3,-1,16, 8, 228, 357, 216, 356,0x0
3,-1,16, 8, 228, 366, 216, 364,0x0
3, 1,16, 8, 204, 355, 216, 356,0x0
3, 1,16, 8, 204, 363, 216, 364,0x0
3,-1,16,16, 243, 361, 232, 360,0x0
3, 1,16,16, 222, 359, 232, 360,0x0
3, 1, 8,16, 233, 358, 244, 360,0x0
3,-1,16,16, 162, 378, 152, 376,0x0
3, 1,16,16, 142, 375, 152, 376,0x0
3,-1,16,16, 179, 378, 168, 376,0x0
3, 1,16,16, 158, 375, 168, 376,0x0
3,-1,16,16, 196, 378, 184, 376,0x0
3, 1,16,16, 174, 375, 184, 376,0x0
3,-1, 8, 8, 208, 374, 196, 372,0x0
3,-1, 8, 8, 215, 373, 204, 372,0x0
3,-1, 8, 8, 208, 382, 196, 380,0x0
3,-1, 8, 8, 216, 382, 204, 380,0x0
3, 1, 8, 8, 184, 371, 196, 372,0x0
3, 1, 8, 8, 184, 379, 196, 380,0x0
3, 1, 8, 8, 192, 379, 204, 380,0x0
3,-1,16, 8, 228, 382, 216, 380,0x0
3, 1,16, 8, 205, 371, 216, 372,0x0
3, 1,16, 8, 204, 379, 216, 380,0x0
3, 1,16,16, 221, 375, 232, 376,0x0
3, 1,16,16, 237, 375, 248, 376,0x0
3, 1,16,16, 253, 375, 264, 376,0x0
3,-1,16, 8, 225, 390, 216, 388,0x0
3, 1,16, 8, 221, 387, 232, 388,0x0
3, 1, 8, 8, 233, 387, 244, 388,0x0
3, 1, 8, 8, 241, 387, 252, 388,0x0
3, 1, 8, 8, 233, 395, 244, 396,0x0
3, 1,16, 8, 253, 387, 264, 388,0x0
3, 1,16,16, 675, 440, 680, 440,0x0
3, 1,16,16, 690, 440, 696, 440,0x0
3, 1,16, 8, 690, 452, 696, 452,0x0
3, 1,16, 8, 691, 460, 696, 460,0x0
3, 1,16, 8, 706, 460, 712, 460,0x0
3, 1, 8, 8, 679, 468, 684, 468,0x0
3, 1, 8, 8, 671, 476, 676, 476,0x0
3, 1, 8, 8, 679, 476, 684, 476,0x0
3,-1,16,16, 701, 472, 696, 472,0x0
3, 1,16,16, 691, 472, 696, 472,0x0
3, 1,16, 8, 706, 468, 712, 468,0x0
3, 1,16, 8, 706, 476, 712, 476,0x0
3,-1, 8, 8, 713, 484, 708, 484,0x0
3, 1, 8, 8, 703, 484, 708, 484,0x0
3,-1,16, 8, 692, 510, 680, 500,0x0
3,-1,16, 8, 694, 515, 680, 508,0x0
3,-1, 8, 8, 706, 511, 692, 500,0x0
3,-1, 8, 8, 708, 515, 692, 508,0x0
3,-1,16,16, 694, 527, 680, 520,0x0
3,-1, 8,16, 732, 536, 740, 536,0x0
25 6 4,-1, 8, 8, 195, 332, 188, 332,0x0
